Title,Author,Abstract
Using Team Learning in Business and Organizational Communication Classes,Deborah Britt Roebuck,"The past decade has produced a growing body of evidence suggesting small group-based instructional methods can promote the achievement of a variety of desirable higher educational outcomes. Therefore, within college and uni versity settings, group-oriented instruction has increased. Team Learning goes beyond using temporary groups or assigning occasional group activities. With this approach, students spend approximately 80 percent of their in-class time working in permanent and heterogeneous teams. The system, when used prop erly, appears to overcome many of the potential problems with using small groups. The methodology empowers both instructor and students. The instruc tor becomes a facilitator and manager of learning rather than the ""spoon feeder"" of information. The students become active and responsible partici pants in the learning process rather than passive recipients. The process facili tates effective teamwork in settings where teams gain first-hand experience with the kind of team dynamics they..."
Dear ???: Understanding British Forms of Address,James Calvert Scott,"Since Britons historically have placed a high value on the use of correct fortns of address, those who write to and speak with them should be familiar with their generally accepted address-related customs. In relatively formal commu nication settings, the use of titles and surnames is generally sanctioned, although there are some notable exceptions. In relatively informal communi cation settings, the use of first names or appropriate substitute expressions is generally sanctioned. Business communication teachers can incorporate infor mation about British forms of address into both general business communica tion and specialized international business communication courses as the provided examples suggest."
Contexting Koreans: Does the High/Low Model Work?,Jane Thomas,"South Korea is assumed to be a high-context culture with extensive shared information and an emphasis on relationships in doing business. The follow ing study reported here tests this assumption and illustrates similarities and differences between Korean and American writers in an attempt to document language differences between high- and low- context societies. Data in the texts studied did not confirm the high/low contextfeatures expected. South Korean texts showed more similarities to than differences from the American texts, and the language features found suggest a more complex context situa tion than the high/low context model may be able to accommodate."
Analyzing International Letters in a Business Communication Class,Bonnie Devet,"In the global marketplace, professionals need to understand how cultural differences affect the writing and reading of business letters. Business commu nication courses can prepare students to meet this need by teaching students an effective, systematic method for analyzing the letters of the global economy. The method incorporates such characteristics as format, organization, rhetori cal strategies (ethos, pathos, logos), style, and writer's purpose. Through case studies in letter writing and analysis, students apply key communication prin ciples in an international context."
Multimedia Copyright Laws and Guidelines: Take the Test,"Joseph V. Arn, Rebecca Gatlin, William Kordsmeier","Increasing numbers of Association for Business Communication members are using multimedia as a form of instruction. Because copyright guidelines affecting multimedia production have only recently been established, policies are not well known. To determine if ABC members understand the guidelines, we created a questionnaire about specific instances of multimedia use and sent it via Internet e-mail to a sample chosen from the 1996 membership directory. Respondents received an average grade of ""C,"" with most answering conservatively, assuming that copyright restrictions are more restrictive than they, in fact, are."
Teaching Students to Enhance the Ecology of Small Group Meetings,Thomas Clark,"Students need to understand how the interplay of ideas, personalities, and environment-the ecology-of a meeting contributes to productivity and satis faction in group process. Only when the ecology is right can the meeting work. To address that ecology explicitly, instructors should help students assess their prior experience in small groups. In a classroom exercise, student teams answer one of a set of questions about meetings: 1. How participants know when a meeting is productive (or not); 2. How they know when warm hospi tality has been extended (or not); 3. What happens before, during, and after meetings that generates broad enthusiasm—or produces apathy. A class period spent on such discussion helps convince students of the need to proactively apply effective meeting management principles in their own workplace. Key words: Group process, meetings, participation, hospitality, enthusiasm"
Group Work and Electronic Meeting Systems: From Boardroom to Classroom,"William L. Tullar, Paula R. Kaiser, Pierre A. Balthazard","In the business community, collaborative efforts of work teams have led to a dramatic increase in the number of group meetings. Business managers, seek ing more efficient and effective methods of managing diverse contributions, have increasingly used information technology to supportgroup work. The same need to improve group communication is relevant to today's classroom, where new technologies can transform the classroom from a traditional instructor-centered environment to a student-centered environment where stu dents actively participate in intellectual discourse. Results from field and labo ratory studies about business usage of electronic meeting systems (EMS) can be applied to the classroom setting. We offer an overview of available tools and suggest some classroom activities. EMS-supported courses provide many new opportunities to foster learning. Students participate, participate more equally, and report a highly satisfying experience."
How MBA Programs Are Using the GMAT's Analytical Writing Assessment,"Cheryl L. Noll, Robert H. Stowers","The Analytical Writing Assessment (AWA) of the Graduate Management Admission Test (GMAT) was designed to serve two purposes: assess appli cants' ability to think critically and communicate complex ideas and aid MBA programs in diagnosing any deficiencies in accepted candidates in order to place them in appropriate classes. To determine how programs are using the AWA scores, we surveyed the 121 member schools of the Graduate Manage ment Council. Eighty-six percent of the fifty-nine respondents indicated that they do indeed use the scores to refine their admissions decisions, but only a few schools use the test diagnostically in making such other decisions as plac ing students in writing development courses, waving communication require ments, or granting assistantships."
Student Portfolios: A Tool to Enhance the Traditional Job Search,"Karen Sterkel Powell, Jackie L. Jankovich","Student portfolios are a tool that academic institutions can implement to enhance students' job search processes. Students can enhance their ability to pass the initial screening process by preparing a portfolio that identifies their goals and provides evidence that they possess the skills and qualities to reach these goals. The portfolio should emphasize communication skills, as they are deemed most important by employers in the initial screening process. When preparing a portfolio, students should consider a variety of media, including paper, videotape, and compact disk. Schools that implement student portfolios must decide if all students will be required to prepare them, if the administra tors will determine the contents, and who will approve the contents of stu dents' portfolios."
Assessing Competency in Business Writing,"Iris I. Varner, Paula J. Pomerenke","Assessing the level of improvement of students' writing competency during a semester is becoming increasingly important for business communication instructors. When conducting an assessment, instructors need to be aware of issues that will affect reliability and validity. They need to develop cleargoals at the beginning; for example, good assessment strives to improve instruction and to develop students' communication skills. Because different schools have different missions and operate in different environments, a custom-made instrument will ensure that the assessment fits the local conditions. Before con ducting the assessment, the instrument needs to be validated for specific use, and scorers must be trained in holistic scoring to reach an overall assessment."
Advising Graduate Students for Successful International Internships,William B. Chapel,"An increasing number of faculty advise graduate students prior to and during internship assignments abroad. To be effective in this important task, the advi sor needs to understand the cultural dimensions of work and of internships in particular. The faculty advisor is pivotal to the success of any internship—par ticularly in international settings—and must understand how an interna tional context affects the selection, training, and monitoring of interns and the evaluation of the internships"
Introduction: Are We Requiring What Our Students Most Need?,Michael A. Netzley,"Why devote a special issue to the topic of writing requirements for business stu dents? The answer, I believe, is relatively simple: any such requirement must reflect what business professionals should know and do in a knowledge economy. Because communication practices are changing radically, our requirements, too, must be reexamined. This issue provides a forum for such reexamination."
"Writing and Other Communication Standards in Undergraduate Business Education: A Study of Current Program Requirements, Practices, and Trends",Melinda Knight,"A survey of 52 top-ranked undergraduate business schools suggests that profi ciency in written and oral communication is considered an important requirement for an undergraduate business degree. This conclusion derives from a study of offi cial Web sites, with follow-up verification by e-mail. All schools have writing and other communication (primarily oral) standnrds in place; 50 have lower-division writing requirements, and 17 schools have other lower-division communication requirements (primarily oral). A total of 36 schools have upper-division writing requirements, and 25 of those schools offer business communication courses through the business schools, and not through liberal arts divisions."
Teaching Field-specific Writing: Results of a WAC Survey,Molly Hill Epstein,"In a recent survey, faculty in the College of Business Administration at Georgia State University recorded their perceptions of the effectiveness of both undergradu ate and graduate student writing. In general, respondents found students were able to design and present their documents well and to analyze and build common ground with the reader. They were less able to select and organize material, pres ent a plan of action, and express their message clearly. In further comments and follow-up discussions, respondents expressed frustration with their lack of time in class to teach both their areas of expertise and effective writing skills.""Evaluating written assignments is time consuming, labor-intensive work, and our new faculty work load policy will not encourage the use of written assignments. """"Writing is a skill that can be taught and we should be doing it. Unfortunately the move to larger class sizes is a disincentive for faculty to assign more written work."""
Case Method Instruction in the Business Writing Classroom,Elizabeth M. Dorn,An effective pedagogy narrows or closes the gap between what is taught in pre- professional communications programs and what is expected on the job. Case studies are often an important element in such pedagogy. But an analysis of cases recently published in Business Communication Quarterly and a survey of 25 employees who consider writing important to successful performance at work show that we may be giving our students instruction they will rarely use. The BCQ cases typically require students to respond to exceptional rhetorical situations when in reality the rhetorical situations writers usually face require more mundane and standardized types of discourse.
Trends in Business Curricula: The View from AACSB,Cathy Ryan,"Note: This commentary reflects a phone conversation with Charles Hickman, Director of Products and Special Services, AACSB (The International Associa tion for Management Education—formerly American Assembly of Collegiate Schools of Business) on 16 November 1998. Our conversation ranged over sev eral topics pertinent to communications requirements in AACSB schools. We are grateful to Mr. Hickman for allowing us to summarize his views in this issue."
Writing Apprehension in Beginning Accounting Majors,"Kay A. Faris, steven P. Golen, David H. Lynch","With writing skills receiving increased emphasis in the accounting curriculum, edu cators need to explore the potential barriers to writing that students may experience. The primary purpose of this study was to determine whether accounting majors have higher levels of writing apprehension than students in other majors. Also stud ied was whether gender, age, and grades in Freshman Composition were related to the level of writing anxiety. A sample of students responded to items on the Writing Apprehension Test to measure their writing apprehension. The students also identi fied their gender, age, major, and grades in Freshman Composition.Significant differences do exist in level of writing apprehension based on grades in Freshman Composition but not based on a student's age or gender choice. Most important, accounting majors did show significantly greater appre hension than non-accounting majors."
Connecting Accounting and Communication: A Survey of Public Accounting Firms,"Robert H. Stowers, G.Thomas White","Communication skills are valued highly in public accounting firms, where profes sionals at all levels communicate as part of their jobs. However, respondents to a 1997 survey reported that the development of effective communication skills was not part of formal accounting education and that partners and managers want their entry-level professionals to have these skills at the onset. Further, these skills increase in importance as accounting professionals progress from entry-level to manager to partner. Educational institutions need to develop programs that include communication topics and courses to prepare accountants for the challenges of their profession."
Using Practitioners' Viewpoints to Improve Accounting Students' Communications Skills,"Donald A. Nellermoe, Thomas R. Weirich, Alan Reinstein","The accounting profession has recognized the importance of emphasizing written and oral communications skills in the accounting curriculum. Innovations in tech nology have greatly enhanced educators' abilities to incorporate instruction in such skills. A survey of practitioners indicates strong agreement with the new writing requirements of the CPA exam. In addition, they endorse the use of information technology in preparing documents based on specific models and prescribed criteria."
Using Total Quality Principles in Business Courses: the Effect on Student Evaluations,Janet Barnard,"Total Quality Management (TQM) is an approach that encourages employees at all levels of an organization to make suggestions about how work should be done and to take an active role in improving processes. Although business organizations have applied TQM principles with considerable success, its use in higher education has been largely limited to administrative processes. Many teaching faculty in schools of business are uncomfortable with applying TQM principles to the class room, often because the idea of empowering students requires thinking differently about their potential for participation in planning processes for the learning envi ronment. Yet a survey of students and faculty suggests that a TQM approach can increase students' learning in a class, help students support one another in a coop erative learning environment, and foster positive feelings toward the instructor, even one who maintains the necessary high standards."
Developing a Competency-based Fundamentals of Management Communication Course,"Patricia A. Murranka, David Lynch","An innovative course in fundamentals of management communication derives from competency-based instruction. Course designers created a list of competen cies and behavioral objectives for each of four modules: business writing funda mentals, formal report writing, informative oral presentations, and persuasive oral presentations. Students receive the list before instructions. Students also gain instruction in class or through self-study or both. They are assessed through multi ple forms of assessment, and those assessments are measured in relation to individ ual demonstration of competencies rather than course norms. In general, the stu dents, faculty, and administration have viewed this course positively."
Bringing Outdoor Challenge Education Inside the Business Communication Classroom,"Debbie D. DuFrene, William Sharbrough, Tim Clipson, Miles McCall","Outdoor challenge education has gained a dedicated following since its inception in the 1940s. Outdoor programs provide a framework for organizations to improve teamwork, problem solving, risk-taking, self-esteem, and interpersonal communi cation. The advantages of outdoor-based programs include high participation in learning by trainees, opportunity to experience real emotions and adopt new pat terns of thinking, ability to promote experimentation in problem solving, and pro motion of group awareness and trust. Many advantages of outdoor education can be maintained when a program goes indoors. Indoor adaptations are safe and nondiscriminatory; they can be conducted anywhere regardless of weather, can facilitate easier transfer of learning to the workplace, and are less expensive. Using the outdoor model, teachers can devise challenge activities for classroom use. Such activities provide variety and the opportunity for experiential learning in the busi ness communication classroom."
Empirically Based Guidelines for Developing Teaching Materials on the Web,"Corinne M. Karuppan, Muthu Karuppan","A recent study showed that Web-based materials enhanced teaching and learning in an introductory operations management course. Evidence gained from the study provides the basis for several guidelines concerning the early stages of implementing such a course. Faculty should understand why students visit the Website, time the availability of materials to match usage patterns, and provide information in appropriate detail and in an appropriate format. The Website facilitated students' note taking and studying, enhanced class discussion, and aided retention; it did not encourage students to miss class, as some faculty feared. Students tended to print out materials from the site, so that printing costs for courses were not reduced, just transferred from an academic department to the computer lab or the students. While traditional ""chalk and talk"" approaches will continue in the short term, students will increasingly see such an approach as outdated and find the Web their instructional medium of choice."
Correlating Students' Personality Types with Their Rating of Topics Covered in Business Communication Classes,Bill McPherson,"For years, students, faculty, and, most important, employers, have recognized the need for improved communication skills. The university business communication curriculum is filled with topics that lead to improving communication skills. A per centage of students find some topics to be boring, unimportant, intimidating, and/or nonessential. However, other students find these same topics to be interest ing, significant, challenging, and vital. For example, college students fear giving oral presentations more than writing papers. Could the preference or the abhor rence of various business communication topics be related to personality type? To answer this question, the Myers-Briggs Type Indicator (MBTI), combined with a Likert Scale, was used to study the relationship between business communication students' personality types and their preferred topics in business communication."
Guiding Students in Finding information on the Web,Zane K. Quible,"Searching for information on the Web can be a daunting, frustrating, mind-bog gling, and sometimes-futile activity. To increase the odds of finding the right infor mation, one needs to understand the operation of four search tools: Web directo ries, search engines, indexes, and spiders or robots. Understanding Boolean logic also helps. Business communication instructors can aid students in their research by introducing them to the terminology and functions of an efficient Web search process."
Exploring How Instruction in Style Affects Writing Quality,"Kim Sydow Campbell, Charlotte Brammer, Nicole Ervin","Business communication instructors regularly teach word- and sentence-level style concepts to help students improve the quality of their writing. To support such teaching, all the textbooks we've seen discuss style at this level, usually in a chap ter on the topic, with additional discussion within other chapters dedicated to spe cific types of messages. We are hopeful but not certain about the impact of this instruction on the quality of our students' future writing. To measure that impact in at least a small way, we gathered empirical data in a single classroom of busi ness communication students. A panel of three writing specialists and three non- specialists rated holistically the quality of informative memos written by undergrad uate business students before and after instruction. In addition, three panelists analyzed the style of the memos. The memos written after instruction were of higher quality than those written before instruction. The students' styles changed for the better after instruction; ..."
Computer-Aided Peer Review of Writing,Laura MacLeod,"Classes that require writing assignments commonly engage students in some form of peer review. Such reviews can profit from two computer applications: news groups and specialized communication client software. In a recent survey, a majority of the students who conducted peer reviews in a business writing class found the activities useful and worthy of repeating in future semesters. But they suggested that faculty provide more guidelines and topics to enhance the substance of the review, train students more directly in the computer applications, and allot more time to conduct the reviews at a comfortable pace."
Management Communication in US MBA Programs: The State of the Art,Melinda Knight,"A study of 32 top-ranked MBA programs suggests that management communica tion is an important part of professional graduate management education. Eigh teen of the schools have required core courses in communication, and two other schools follow an integrated model and also offer electives; another nine offer elec tives only. A total of four schools also have writing proficiency requirements, and all four of those schools have core communication courses as well. Only three schools in the sample do not have any communication course offerings. These results are based on an analysis of official Websites and follow-up contact by e- mail or personal interview."
Content of the Business Communication Course: An Analysis of Coverage,"William J. Wardrope, Marsha L. Bayless","This study examined 229 responses from members of the Association for Business Communication (United States) who rated the importance of 30 business commu nication concepts. The concepts were divided into six categories: communication theory, written communication, oral communication, employment communica tion, technology, and current business communication issues. Respondents also reported the amount of class coverage they provided for each topic. Of the 30 con cepts, 23 were rated as moderately or greatly important. Gaps occurred in some categories between their perceived importance and their actual class coverage. The five most important concepts centered on written communication and were ranked as follows (from highest to lowest ): Use correct grammar and sentence structure, write memoranda, write persuasive news, write good news/positive message let ters, and write reports."
Auditors' Communication Requirements: A Study of Five MNCs in Singapore,"Valerie Priscilla Goby, Justus Helen Lewis","This article contributes to the research on preparing new auditors for their work. It investigates the work and communication needs of newly graduated auditors, their senior colleagues, and their managers in five MNCs (multinational companies ) in Sin gapore. Much research indicates that accountancy graduates entering the profession are perceived to be lacking some important communication abilities. This study investigates how important auditors perceive interpersonal, oral, and written skills to be to them at different stages of their professional careers and the degree to which they perceive that they need to improve in these skills. As expected, the newly graduated audit assistants perceived the greatest need for improvement in all three skills. However, they also per ceived that written skills were of lesser importance to them than interpersonal and oral skills. We suggest that accounting courses could prepare undergraduates more effectively in the oral/interpersonal skills needed in the initial stage..."
Using Communication Audits to Teach Organizational Communication to Students and Employees,"Craig R. Scott, Sandra Pride Shaw, C. Erik Timmerman, Volker Frank, Laura Quinn","Communication audits serve well as educational tools for both student auditors and employees of organizations. To use audits, teachers need to gain access to organizations, especially through internal audit departments; negotiate the exchange of essentially free audit findings for a learning experience and research data; and secure commitment from top management, other organizational mem bers, and student auditors. To administer the audit itself, teachers should start with a pilot audit followed by full assessment, conduct a two-phase process of data collection and analysis that includes questionnaires and interviews, and report findings in a timely and effective manner. The promises of the approach outweigh its inevitable perils."
Text(ing) in Context,Thomas J. Kiddie,"Following Rogers’s theory of the diffusion of innovations, the author questions whether youth entering the workforce will act as change agents to evolve primary business communication channels from email to text-messaging. Expanding on research performed in 2009, the author investigates three communication scenarios: scheduling meetings, exchanging information in the workplace, and keeping in contact with family and friends. Follow-up research also gathers information about communication hardware trends. The author concludes that change agents and early adopters already in the company, not new hires, will effect a change in communication media that will involve new technology such as smartphones."
Task Design and Interaction in Collaborative Writing,"Stephen Bremner, Anne Peirson-Smith, Rodney Jones, Vijay Bhatia","This article investigates student behaviour on collaborative assignments, looking at the relationship between task type and interaction, and considers the implications for task design. Students reported on interactions in a year-long workplace-focussed group communication project, comparing these with interactions on other academy-based group assignments. Differences were seen in the amount of brainstorming, the criteria for dividing up work, the intensity of editing, and how conflict was managed. Contributing factors to these differences included the presence or absence of a creative element, the instrumental nature of the task, and the need for a collective approach inherent in the task design."
Multitasking With Smartphones in the College Classroom,"Anne Bradstreet Grinols, Rishi Rajesh","Although the concept of multitasking itself is under debate, smartphones do enable users to divert attention from the task at hand to nongermane matters. As smartphone use becomes pervasive, extending into our classrooms, educators are concerned that they are becoming a major distraction. Does multitasking with smartphones impede learning? Can they be used to enhance learning instead? This article reviews current literature, provides suggestions for further investigation, and proposes an approach to incorporate smartphone multitasking in the classroom to enhance learning."
Serious Games,Anne E. Witte,"One business school addressed the “zeitgeist” of the financial crisis by introducing in its inaugural seminar the cultural and ethical values too often absent from the types of transactions students are trained to manage. Drawing from cross-cultural and communication studies, the author tested “serious games”—cultural situations and personal development exercises aimed at rewarding rule-based cooperation, interpersonal communication, and cultural empathy. Observations made during the games fostered curriculum reform by integrating humanistic concerns considered vital for international finance careers. Linking such training to business learning objectives enhances accountability, rule-based action, and cultural awareness reform."
Social Media—A Virtual Pandora’s Box,"Susan Evans Jennings, Justin R. Blount, M. Gail Weatherly","With the increase in the use of mobile devices in the workplace, both employer supplied and personally owned, and the major role social media has begun to play in today’s world, businesses face many new challenges with their employees. Social media may be seen by some employers as a virtual Pandora’s Box. Though it may seem to hold bountiful riches, employee posts can unleash a firestorm of unforeseen challenges and consequences ranging from financial, to legal, to ethical. In looking at business use of social media, this article will discuss the prevalence of social media use, possible legal liabilities thereof, and policies to consider."
Crossing Public-Private and Personal-Professional Boundaries,Daphne A. Jameson,"When Chiquita Brands considered relocating its corporate headquarters, competing cities started Twitter campaigns to influence the decision by communicating directly with the chief executive officer. As he used the new microblogging channel, some of his previously private communication became public, some personal communication became professional, and some professional communication became personal. The case shows how social media can significantly affect chief executive officers’ communication by encouraging boundary crossing. Understanding the connections between the private versus public and personal versus professional rhetorical categories will help business communicators make wise choices as technology continues to introduce new social media and other channel options."
Student and Faculty Perspectives on Motivation to Collaborate in a Service-Learning Course,"Rebecca Pope-Ruark, Paige Ransbury, Mia Brady, Rachel Fishman","This case study, an example of scholarship of teaching and learning (SoTL) research, explores student motivations to collaborate with both peer teams and community partners in a service-learning course. Written by one instructor and three undergraduates, the article draws on personal narratives, student reflections, and a postcourse student survey. Our experiences and findings suggest that in courses like these positive extrinsic factors motivate students to collaborate in ways that the extrinsic motivators in typical assignments do not, helping to foster trust and shared goals. We also share our work as an example of how to include student voices in SoTL work."
Negotiating Diversity,"Shujie Guo, Cheryl Cockburn-Wootten, Debashish Munshi","The intercultural divides in values, perceptions, and interpretations of concepts have been studied extensively by international business and intercultural communication scholars. Consequentially, much effort in university classrooms is spent on focusing on the differences between groups and on finding ways to “manage” cultural diversity. What is often missed is the common ground among cultural groups and the differences within what are presumed to be homogenous groups of students. To negotiate this complexity of diversity, we describe an initiative to foster collaborative student-led analyses of a case study to open up meaningful discussions around diversity."
"Selections From the ABC 2013 Annual Convention, New Orleans, Louisiana",D. Joel Whalen,"This article, the first of a two-part series, catalogs teaching innovations presented at the 2013 Association for Business Communication (ABC) Annual Convention, New Orleans. They were presented during the My Favorite Assignment session. The 11 Favorite Assignments featured here offer the reader a variety of learning experiences including collaborative team work, debate, budgets, cross-cultural communication, report writing, persuasion, nonprofit organizations, client communication, and writing funding proposals. Additional teaching materials—including instructions to students, stimulus materials, slides, grading rubrics, frequently asked questions, and sample student projects—are posted on the Association for Business Communication webpage http://businesscommunication.org/assignments."
Expanding Omani Learners’ Horizons Through Project-Based Learning,Victoria Dauletova,"As a relatively innovative teaching/learning approach in the Arabian Gulf region, in general, and in Oman, in particular, project-based learning requires progressive amendments and adaptations to the national culture of the learner. This article offers analysis of the current state of the approach in the local educational environment. Furthermore, it introduces the challenges of applying this unconventional type of instruction to Omani learners together with their response to the new learning conditions and philosophy. It also offers ideas on adaptations and implementation of project-based learning within the Arabian Gulf undergraduate student community."
"Selections From the ABC 2013 Annual Convention, New Orleans, Louisiana",D. Joel Whalen,"This article, the second in a two-part series, catalogs teaching innovations presented at the 2013 Association for Business Communication Annual Convention, New Orleans. They were presented during the My Favorite Assignment session. The 11 Favorite Assignments featured here offer the reader a variety of learning experiences, including collaborative teamwork, debate, budgets, cross-cultural communication, report writing, persuasion, not-for-profit organization, client communication, and writing funding proposals. Additional teaching materials—including instructions to students, stimulus materials, slides, grading rubrics, frequently asked questions, and sample student projects—are posted on the Association for Business Communication web page http://businesscommunication.org/assignments."
Using Oral Exams to Assess Communication Skills in Business Courses,Lisa A. Burke-Smalley,"Business, like many other fields in higher education, continues to rely largely on conventional testing methods for assessing student learning. In the current article, another evaluation approach—the oral exam—is examined as a means for building and evaluating the professional communication and oral dialogue skills needed and utilized by business graduates. Prior studies of oral exams in higher education are reviewed, along with the empirical findings from an exploratory investigation of an oral exam in an undergraduate human resource course. Implications for future research and the use of oral exams in business education are also presented."
The Impromptu Gauntlet,Robert N. Yale,"Typical business communication courses provide significantly more opportunities for students to hone their skills in writing compared with speaking. This article outlines an impromptu speech assignment and explains a course-level strategy for providing each student with more than 30 significant speaking opportunities during a term. This approach has proven to be surprisingly popular as students observe a remarkable transformation in their confidence and competence with presentational speaking. Teaching strategies, assignment guidelines, results, and additional resources are presented."
Cultivating Critical-Thinking Dispositions Throughout the Business Curriculum,"Janel Bloch, Sandra E. Spataro","Critical thinking is an essential component of managerial literacy, yet business school graduates struggle to apply critical-thinking skills at work to the level that employers desire. This article argues for a dispositional approach to teaching critical thinking, rooted in cultivating a critical-thinking culture. We suggest a two-pronged approach of (a) clearly defining critical thinking and selecting an accessible model for applying it and (b) integrating critical thinking consistently throughout the business curriculum. We illustrate implementation of this strategy in our revised MBA curriculum and conclude by challenging others to consider adopting a cultural and dispositional approach."
The State of Business Communication Classes,"Farrokh Moshiri, Peter Cardon","This nationwide study of 169 business communication instructors examines the following issues: (a) ideal and actual class sizes in business communication courses, (b) delivery modes of business communication courses, (c) types of written and oral assignments, and (d) topics covered and depth of coverage. Findings suggest that business communication course offerings are growing on the national stage. The vast majority of class sizes have stayed the same or gotten smaller. One significant change over the past 5 years is the increased focus on interpersonal communication and teamwork. While some courses offer significant coverage of social media, the majority does not."
Termination Documentation,"Mike Duncan, Jillian Hill","In this study, we examined 11 workplaces to determine how they handle termination documentation, an empirically unexplored area in technical communication and rhetoric. We found that the use of termination documentation is context dependent while following a basic pattern of infraction, investigation, intervention, and termination. Furthermore, the primary audience of the documentation is typically legal and regulatory bodies, not the employee. We also make observations about genre, collaboration, and authorship in these documents."
Mythologizing Change,Jacob D. Rawlins,"This article explores how rhetorical myth can be used as a tool for persuading employees to accept change and to maintain consensus during the process. It defines rhetorical myth using three concepts: chronographia (a rhetorical interpretation of history), epideictic prediction (defining a present action by assigning praise and blame to both past and future), and communal markers (using Burkean identification and rhetorically defined boundary objects to define a community). The article reports on a 3-year ethnographic study that documents the development of a rhetorical myth at Iowa State University’s Printing Services department as it underwent changes to its central software system."
Examining U.S. and Spanish Annual Reports,"Juan C. Palmer-Silveira, Miguel F. Ruiz-Garrido","Crisis has affected businesses worldwide. Many international corporations must cope with this turmoil, which affects their economic liability. Firms express their actual financial situation in the annual reports they issue every year. The annual report is a document that combines both promotional and informative features. Our study tries to find out how companies from two different countries (United States and Spain) deal with the issue of crisis in difficult times through their annual report. Additionally, and from a pedagogical perspective, we discuss the benefits of using the annual report in the teaching of writing for our students."
Social Media Use to Enhance Internal Communication,"Amy M. Young, Mary D. Hinesly","Organizations are increasingly using social media to improve their internal communication. When successfully implemented, such initiatives can have a dramatic impact on internal efficiency, team collaboration, innovation, organizational alignment, and cultural transformation. This article describes a course offered by the Ross School of Business, University of Michigan, on the use of social media for internal business communication that can be modified for Bachelor of Business Administration or Master of Business Administration students. The authors describe the pedagogy behind the course design, provide a course description, and discuss social media/communication consulting projects conducted in the class."
Navigating Change,"Debbie D. DuFrene, Carol M. Lehman","Employees often perceive periods of change—no matter how warranted or beneficial—as crises, exhibiting both cognitive and emotional reactions including feelings of insecurity and uncertainty, even fear, chaos, stress, betrayal, grief, and anger. Management must have a clear strategy for communicating with employees through change, as employee expectations for open and honest communication are increased in times of shift and uncertainty. Open, honest, and regular communication is essential to keeping employees motivated and productive. Benefits of effective communication in times of change include higher employee satisfaction and engagement, lower turnover, and stronger long-term commitment. Solid internal relationships also strengthen ethics-related outcomes such as fraud reduction and reputation management."
“Going Mobile” in Business Communication at an Arabian Gulf University,"Chrysi Rapanta, Catherine Nickerson, Valerie Priscilla Goby","In this article, we describe a project in which undergraduate business seniors at a university in the Arabian Gulf created or evaluated the chapters of an iBook as part of their final course in business communication. Students were surveyed throughout the project, and they also participated in a focus group discussion at the end. The aim was to evaluate their experience with learning from a peer-generated iBook and to identify any motivating factors behind it. The study showed that incorporating mobile learning into the business communication classroom was highly meaningful for the students involved for a range of different reasons."
Communicative Needs in the Workplace and Curriculum Development of Business English Courses in Hong Kong,Mable Chan,"The pressing need to bridge the gap between workplace communicative needs and curriculum development of business English courses has been documented in the literature. Through a questionnaire survey of 215 working adults, this study examines (a) the spoken and written needs of professionals in the local Hong Kong workplace, (b) the challenges they meet, (c) what they perceive as the most difficult spoken and written communication means, and (d) professionals’ concerns about the course content to make such courses effective. This article provides insights into what constitutes an effective business English course and facilitates the teaching and learning of business English."
Communicating Organizational Change Reactions,Helle Kryger Aggerholm,"The aim of this article is to study employees’ discursive construction of disparate survivor responses. The analysis reveals how employees position themselves simultaneously within different types of categories by use of discursive actions. Drawing on various discourses, the actors reject having one solid core of identity and instead signal the existence of various flexible identities. The article contributes to a greater understanding of the importance of discourse within organizational change. An increased managerial sensitivity toward employee discourse may help to understand why employees obstruct organizational changes and subsequently make it easier to preempt and handle such reactions."
Responding to Hostility,"Kim Sydow Campbell, Pierson Carmichael, Jefrey S. Naidoo","Hostile challenges to planned organization change are common and challenging to deal with effectively. Little research has explained successful responses to such stakeholder hostility. To address this gap, we use the concept of readiness to characterize the content of hostile challenges. We also use rhetorical strategies based on speech act theory to describe options for responding to those challenges. Because change agents must choose among multiple strategies, we continue a line of research investigating relative preferences among them. Ultimately, our aim is to offer six lessons for change agents who face hostile challenges based on evidence from research."
